step,lyap_E,mse,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,heat_removed,TV
92,0.0,0.0,31.055492682917443,27.480363076137472,0.0,0.0,0.0,0.0,0.0
93,0.0,0.0,31.09632381441627,27.485516863932048,0.0,0.0,0.0,0.0,0.0
94,0.0,0.0,31.137100966869724,27.490670360767457,0.0,0.0,0.0,0.0,0.0
95,0.0,0.0,31.17782428517778,27.495823565315707,0.0,0.0,0.0,0.0,0.0
96,0.0,0.0,31.218493913649905,27.50097647625408,0.0,0.0,0.0,0.0,0.0
97,0.0,0.0,31.25910999600831,27.506129092265073,0.0,0.0,0.0,0.0,0.0
98,0.0,0.0,31.299672675391182,27.51128141203631,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,31.34018209435591,27.51643343426051,0.0,0.0,0.0,0.0,0.0
100,0.0,0.0,31.38063839488226,27.521585157635425,0.0,0.0,0.0,0.0,0.0
101,0.0,0.0,31.421041718375566,27.526736580863762,0.0,0.0,0.0,0.0,0.0
102,0.0,0.0,31.461392205669846,27.53188770265315,0.0,0.0,0.0,0.0,0.0
103,0.0,0.0,31.501689997030955,27.53703852171607,0.0,0.0,0.0,0.0,0.0
104,0.0,0.0,31.54193523215967,27.5421890367698,0.0,0.0,0.0,0.0,0.0
105,0.0,0.0,31.58212805019478,27.547339246536385,0.0,0.0,0.0,0.0,0.0
106,0.0,0.0,31.622268589716143,27.552489149742556,0.0,0.0,0.0,0.0,0.0
107,0.0,0.0,31.662356988747735,27.557638745119725,0.0,0.0,0.0,0.0,0.0
108,0.0,0.0,31.702393384760654,27.562788031403883,0.0,0.0,0.0,0.0,0.0
109,0.0,0.0,31.742377914676133,27.567937007335598,0.0,0.0,0.0,0.0,0.0
110,0.0,0.0,31.782310714868505,27.57308567165995,0.0,0.0,0.0,0.0,0.0
111,0.0,0.0,31.822191921168166,27.578234023126488,0.0,0.0,0.0,0.0,0.0
112,0.0,0.0,31.862021668864518,27.5833820604892,0.0,0.0,0.0,0.0,0.0
113,0.0,0.0,31.90180009270888,27.588529782506455,0.0,0.0,0.0,0.0,0.0
