step,max_uncertainty,mean_uncertainty,uncertainty_spread,analytical_sigma2
74,0.9995236772584145,0.0064,0.0096,0.000126
75,0.9995003652545351,0.0064,0.0096,0.00012768
76,0.9994762869608704,0.0064,0.0096,0.00012936
77,0.9994514302877353,0.0064,0.0096,0.00013104
78,0.9994257832301383,0.0063999999999999994,0.0096,0.00013272
79,0.9993993338702243,0.0064,0.0096,0.0001344
80,0.999372070379622,0.0064,0.0096,0.00013607999999999998
81,0.9993439810216981,0.0064,0.0096,0.00013775999999999998
82,0.9993150541537217,0.006400000000000001,0.0096,0.00013943999999999998
83,0.9992852782289391,0.0064,0.0096,0.00014111999999999998
84,0.9992546417985628,0.0063999999999999994,0.0096,0.0001428
85,0.9992231335136762,0.006400000000000001,0.01,0.00014447999999999997
86,0.9991907421270555,0.0064,0.01,0.00014616
87,0.9991574564949115,0.0064,0.01,0.00014783999999999997
88,0.9991232655785529,0.0063999999999999994,0.01,0.00014952
89,0.999088158445973,0.0064,0.01,0.0001512
90,0.9990521242733613,0.0064,0.01,0.00015287999999999999
91,0.999015152346543,0.006400000000000001,0.01,0.00015455999999999998
92,0.9989772320623468,0.006400000000000001,0.01,0.00015623999999999998
93,0.9989383529299033,0.006400000000000001,0.01,0.00015791999999999998
94,0.9988985045718759,0.006400000000000001,0.01,0.00015959999999999998
95,0.9988576767256259,0.006400000000000001,0.01,0.00016128
96,0.9988158592443125,0.0064,0.01,0.00016295999999999997
97,0.9987730420979312,0.006400000000000001,0.01,0.00016464
98,0.9987292153742897,0.0064,0.01,0.00016632
99,0.9986843692799252,0.0064,0.01,0.000168
100,0.998638494140963,0.006400000000000001,0.01,0.00016968
