step,s2_num,s2_ana,max
60,0.0007656905757915861,0.00011712,0.027630041096088694
61,0.0007676495595687517,0.00011904,0.02762356446090436
62,0.0007696085433459175,0.00012096,0.02761693236993667
63,0.0007715675271230829,0.00012288,0.027610144624134848
64,0.0007735265109002486,0.0001248,0.027603201067049467
65,0.0007754854946774143,0.00012671999999999998,0.027596101583717326
66,0.0007774444784545797,0.00012864,0.027588846099568496
67,0.0007794034622317454,0.00013056,0.027581434579355135
68,0.0007813624460089109,0.00013248,0.02757386702610166
69,0.0007833214297860765,0.0001344,0.027566143480075894
70,0.0007852804135632421,0.00013632,0.027558264017780804
71,0.0007872393973404079,0.00013824,0.027550228750966466
72,0.0007891983811175733,0.00014015999999999999,0.027542037825661853
73,0.0007911573648947388,0.00014208,0.027533691421226133
74,0.0007931163486719046,0.000144,0.02752518974941909
75,0.0007950753324490701,0.00014591999999999999,0.027516533053490333
76,0.0007970343162262357,0.00014784,0.027507721607286935
77,0.0007989933000034014,0.00014976,0.027498755714379212
78,0.000800952283780567,0.00015168,0.027489635707204262
79,0.0008029112675577327,0.0001536,0.027480361946226977
80,0.000804870251334898,0.00015551999999999997,0.02747093481911819
81,0.0008068292351120637,0.00015744,0.02746135473994967
82,0.0008087882188892291,0.00015936,0.02745162214840565
83,0.0008107472026663949,0.00016128,0.02744173750901057
84,0.0008127061864435602,0.0001632,0.027431701310372782
85,0.0008146651702207258,0.00016512,0.027421514064443896
86,0.0008166241539978916,0.00016704,0.027411176305793504
87,0.0008185831377750572,0.00016896,0.02740068859089899
88,0.0008205421215522228,0.00017088,0.027390051497450163
89,0.0008225011053293881,0.0001728,0.027379265623668443
90,0.0008244600891065539,0.00017471999999999998,0.027368331587640335
91,0.0008264190728837195,0.00017664,0.027357250026664937
92,0.000828378056660885,0.00017856,0.027346021596615235
93,0.0008303370404380506,0.00018047999999999998,0.0273346469713129
94,0.0008322960242152165,0.0001824,0.027323126841916397
95,0.000834255007992382,0.00018432,0.02731146191632213
96,0.0008362139917695475,0.00018623999999999998,0.02729965291857839
97,0.0008381729755467131,0.00018816,0.027287700588311866
98,0.0008401319593238785,0.00019008,0.027275605680166532
99,0.0008420909431010442,0.00019199999999999998,0.027263368963254632
100,0.0008440499268782101,0.00019392000000000001,0.02725099122061958
101,0.0008460089106553754,0.00019584,0.027238473248710534
102,0.0008479678944325411,0.00019775999999999998,0.027225815856868448
103,0.0008499268782097065,0.00019968,0.027213019866823396
104,0.0008518858619868722,0.0002016,0.027200086112202936
105,0.0008538448457640378,0.00020351999999999998,0.027187015438051347
106,0.0008558038295412033,0.00020544,0.027173808700359497
107,0.0008577628133183692,0.00020736,0.027160466765605205
108,0.0008597217970955345,0.00020927999999999997,0.02714699051030385
109,0.0008616807808727002,0.0002112,0.027133380820569056
110,0.0008636397646498657,0.00021312,0.027119638591683287
111,0.0008655987484270315,0.00021503999999999997,0.02710576472767815
