label,step,T_max,T_mean,overheat_frac,mean_ctrl,cooling_power,TV,lyap_E,decision_loss,alpha,beta,D,sensor_fraction,MI,corr
Fixed-clean VIFD,245,36.748653460420584,28.264822557028477,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.209743664773667e-16,0.0
Fixed-clean VIFD,250,36.91813687805026,28.290298702498223,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,255,37.086699323243906,28.315763479665936,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.0214498397972404e-16,0.0
Fixed-clean VIFD,260,37.254350891775886,28.341216786364118,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,265,37.421101513732324,28.366658521846645,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,270,37.58696095717436,28.392088586769486,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503126e-16,0.0
Fixed-clean VIFD,275,37.75193883169926,28.417506883171853,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,280,37.91604459190296,28.442913314457908,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,285,38.07928754074721,28.46830778537881,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,0.0,0.0
Fixed-clean VIFD,290,38.24167683283442,28.493690202015273,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,295,38.40322147759328,28.51906047176041,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,300,38.56393034237809,28.544418503303,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,305,38.72381215548451,28.56976420661109,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,310,38.88287550908444,28.595097492915897,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.4408920985006247e-16,0.0
Fixed-clean VIFD,315,39.04112886208271,28.620418274696053,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.001021736144138e-16,0.0
Fixed-clean VIFD,320,39.198580542897915,28.645726465662115,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.220446049250312e-16,0.0
Fixed-clean VIFD,325,39.355238752169974,28.671021980741365,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
Fixed-clean VIFD,330,39.511111565396604,28.69630473606289,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,4.440892098500624e-16,0.0
Fixed-clean VIFD,335,39.666206935500945,28.721574648942898,0.0,0.0,0.0,0.0,0.0,0.0,3.5,0.2,0.00035,1.0,2.2204460492503123e-16,0.0
